Time (s),Current (mA)
16.211038,16.26429749
16.211184,16.24212646
16.211329,16.24002647
16.211474,16.25265503
16.211619,16.26395035
16.211765,16.25295258
16.211910,16.71529770
16.212055,16.25357819
16.212200,16.26676750
16.212346,16.25714111
16.212491,16.24798584
16.212636,16.23983574
16.212781,16.26002502
16.212927,16.63859558
16.213072,16.24714279
16.213217,16.24002457
16.213362,16.24926186
16.213508,16.23306656
16.213653,16.23074150
16.213798,16.21635818
16.213943,16.63939667
16.214089,16.22124290
16.214234,16.20273781
16.214379,16.19976425
16.214524,16.19575310
16.214669,16.19492912
16.214814,16.39522171
16.214960,16.37910652
16.215105,16.16920280
16.215251,16.17208862
16.215396,16.16809845
16.215541,16.16093826
16.215686,16.15215492
16.215832,16.53634071
16.215977,16.20293427
16.216122,16.12356377
16.216267,16.12824631
16.216413,16.11592865
16.216558,16.10554123
16.216703,16.09894562
16.216848,16.54467392
16.216994,16.11935997
16.217139,16.09757996
16.217284,16.09237289
16.217429,16.09233093
16.217575,16.08321953
16.217720,16.08749962
16.217865,16.51810265
16.218010,16.09851265
16.218156,16.07643318
16.218301,16.08399963
16.218446,16.07628059
16.218591,16.07300568
16.218736,16.06372070
16.218881,16.52198982
16.219027,16.06135368
16.219172,16.07175064
16.219317,16.04415512
16.219462,16.06844711
16.219608,16.06669235
16.219753,16.05213737
16.219898,16.51117897
16.220043,16.06795120
16.220189,16.05484581
16.220334,16.05710602
16.220479,16.05914307
16.220624,16.05912209
16.220770,16.06777191
16.220915,16.51980019
16.221061,16.06454659
16.221206,16.07397652
16.221351,16.06929779
16.221496,16.06372070
16.221642,16.06515503
16.221787,16.06545639
16.221932,16.47652054
16.222077,16.07632256
16.222223,16.07474136
16.222368,16.07046318
16.222513,16.07465172
16.222658,16.09864426
16.222804,16.13087845
16.222949,16.45350647
16.223094,16.09485054
16.223239,16.09495926
16.223385,16.12384987
16.223530,16.12033653
16.223675,16.11922646
16.223820,16.39926147
16.223965,16.27488327
16.224111,16.12937737
16.224256,16.13514900
16.224401,16.13775444
16.224546,16.14701271
16.224691,16.14345741
16.224837,16.54421616
16.224982,16.20026398
16.225127,16.15909195
16.225272,16.16879463
16.225418,16.18113518
16.225563,16.18245697
16.225708,16.18284798
16.225853,17.33070755
16.225999,16.28757095
16.226144,16.21738243
16.226290,16.20185089
16.226434,16.22215652
16.226580,16.20406342
16.226725,16.21655464
16.226871,16.66416931
16.227016,16.23184967
16.227161,16.24095535
16.227306,16.23564911
16.227452,16.23573303
16.227597,16.24305916
16.227742,16.24729156
16.227887,16.70232582
16.228032,16.24570656
16.228178,16.25193024
16.228323,16.26373100
16.228468,16.25403404
16.228613,16.26008606
16.228758,16.26347351
16.228904,16.69902611
16.229049,16.26761436
16.229194,16.23290825
16.229339,16.24600983
16.229485,16.23731613
16.229630,16.24917984
16.229775,16.24414444
16.229920,16.62948227
16.230066,16.22727203
16.230211,16.23013306
16.230356,16.22577286
16.230501,16.21137238
16.230647,16.21386719
16.230792,16.20634079
16.230937,16.59508514
16.231082,16.19790077
16.231228,16.20384407
16.231373,16.19671059
16.231518,16.17727089
16.231663,16.18356514
16.231809,16.27550888
16.231954,16.45118713
16.232100,16.16678047
16.232245,16.14738464
16.232390,16.14338875
16.232535,16.14846611
16.232680,16.12927055
16.232825,16.46020699
16.232971,16.21852875
16.233116,16.11892319
16.233262,16.11393547
16.233407,16.11015892
16.233552,16.10603905
16.233697,16.11823463
16.233842,16.50990295
16.233987,16.12996864
16.234133,16.08408737
16.234278,16.08020782
16.234423,16.06575966
16.234568,16.10055351
16.234714,16.07384682
16.234859,16.52215767
16.235004,16.07591248
16.235149,16.07712746
16.235295,16.06851387
16.235440,16.06812286
16.235585,16.07189751
16.235730,16.06274605
16.235875,16.51417732
16.236020,16.06803703
16.236166,16.05965805
