Time (s),Current (mA)
4.441135,0.79571617
4.441281,0.79354399
4.441426,0.79900044
4.441572,0.79602158
4.441716,0.79694265
4.441862,0.79479527
4.442007,0.79768223
4.442152,0.79357463
4.442297,0.79737449
4.442443,0.79986048
4.442588,0.80015379
4.442734,0.79792267
4.442878,0.79161233
4.443024,0.79708934
4.443169,0.79570383
4.443314,0.79577518
4.443460,0.80205685
4.443605,0.79750085
4.443750,0.79712206
4.443895,0.79770708
4.444040,0.79886609
4.444186,0.79742140
4.444331,0.79674286
4.444476,0.79718113
4.444621,0.79589540
4.444767,0.79859287
4.444911,0.79392320
4.445057,0.79417562
4.445202,0.79916346
4.445347,0.79371089
4.445493,0.79652488
4.445638,0.79754972
4.445783,0.79359496
4.445928,0.79185879
4.446073,0.79985428
4.446219,0.79592776
4.446364,0.79618281
4.446510,0.79547364
4.446655,0.79580146
4.446800,0.79901886
4.446945,0.79205871
4.447090,0.79514551
4.447235,0.79459327
4.447381,0.79427129
4.447526,0.79803675
4.447671,0.79857069
4.447816,0.79421031
4.447962,0.80160666
4.448106,0.79099506
4.448252,0.79462600
4.448397,0.79814285
4.448543,0.79836679
4.448688,0.79538786
4.448833,0.79067123
4.448978,0.79840755
4.449123,0.79536134
4.449268,0.79270047
4.449414,0.79531670
4.449559,0.79678804
4.449705,0.79342371
4.449850,0.79880500
4.449995,0.79441166
4.450140,0.79444462
4.450286,0.80146813
4.450431,0.79698145
4.450576,0.79773521
4.450721,0.79559189
4.450867,0.79432857
4.451011,0.79639041
4.451157,0.79740721
4.451302,0.79713613
4.451448,0.79511493
4.451593,0.79711366
4.451738,0.80082422
4.451883,0.79259479
4.452028,0.79640681
4.452174,0.79408801
4.452319,0.79933268
4.452464,0.79816115
4.452610,0.79520661
4.452755,0.79761106
4.452900,0.79300570
4.453045,0.79490930
4.453190,0.79803699
4.453335,0.79384786
4.453481,0.79674512
4.453626,0.79909831
4.453772,0.79241538
4.453917,0.79814494
4.454062,0.79577297
4.454207,0.79680812
4.454352,0.79676551
4.454498,0.79477489
4.454643,0.79633564
4.454788,0.79624200
4.454934,0.79601151
4.455078,0.79390460
4.455224,0.79809189
4.455369,0.79688358
4.455514,0.79585445
4.455660,0.80270284
4.455805,0.79140663
4.455950,0.79692858
4.456095,0.79784518
4.456240,0.79892308
4.456386,0.79566932
4.456531,0.79834026
4.456677,0.79805106
4.456822,0.79508859
4.456967,0.79473197
4.457112,0.79956287
4.457257,0.79722184
4.457402,0.79238874
4.457548,0.79498875
4.457693,0.80261725
4.457838,0.79811001
4.457983,0.79532486
4.458128,0.79588711
4.458274,0.80018669
4.458419,0.79324675
4.458564,0.79857469
4.458710,0.79842603
4.458855,0.79670829
4.459000,0.79588532
4.459145,0.79579759
4.459291,0.79684860
4.459435,0.79543287
4.459581,0.80123371
4.459726,0.79921466
4.459872,0.79664534
4.460016,0.79812270
4.460162,0.79880708
4.460307,0.79287988
4.460452,0.80019456
4.460597,0.79760081
4.460743,0.79829776
4.460888,0.79422468
4.461033,0.79271895
4.461178,0.79301631
4.461324,0.79556543
4.461469,0.79871947
4.461614,0.79376817
4.461759,0.79422444
4.461905,0.79389244
4.462050,0.79750323
4.462195,0.80031294
4.462340,0.79153311
4.462486,0.79830998
4.462631,0.79591978
4.462776,0.79539227
4.462921,0.79160827
4.463067,0.79682654
4.463212,0.79802877
4.463357,0.79301661
4.463502,0.79158211
4.463648,0.79474223
4.463793,0.79991752
4.463938,0.79459321
4.464083,0.79544091
4.464229,0.79659617
4.464374,0.79534316
4.464519,0.79544908
4.464664,0.79577291
4.464810,0.79770249
4.464955,0.79274130
4.465101,0.79284513
4.465246,0.79500496
4.465391,0.79661477
4.465536,0.79310799
4.465681,0.79719728
4.465827,0.79619908
